id,char,codepoint,pinyins_tone3,pinyins_display,gloss_en,examples
18149,铤,U+94E4,ding4|ting3,dìng|tǐng,ingot,铤而走险
18150,铥,U+94E5,diu1,diū,thulium (chemistry),
18151,铦,U+94E6,xian1,xiān,fish-spear,
18152,铧,U+94E7,hua2,huá,plowshare,何厚铧|多铧犁|犁铧
18153,铨,U+94E8,quan2,quán,to estimate,胡铨|蒋士铨|铨叙部
18154,铩,U+94E9,sha1,shā,(old) spear; lance,铩羽|铩羽而归
18155,铪,U+94EA,ha1,hā,hafnium (chemistry),
18156,铫,U+94EB,diao4|yao2,diào|yáo,surname Yao,
18157,铬,U+94EC,ge4,gè,chromium (chemistry),单铬
18158,铭,U+94ED,ming2,míng,to engrave,刻骨铭心|墓志铭|座右铭
18159,铮,U+94EE,zheng1|zheng4,zhēng|zhèng,clang of metals,铮亮|铮铮铁汉|铮铮铁骨
18160,铯,U+94EF,se4,sè,cesium (chemistry),
18161,铰,U+94F0,jiao3,jiǎo,scissors,蝴蝶铰|铰刀|铰链
18162,铱,U+94F1,yi1,yī,iridium (chemistry),
18163,铲,U+94F2,chan3,chǎn,to scrape the ground with a spade (to make it level or to remove weeds); to shovel,刮铲|铲平|铲除
18164,铳,U+94F3,chong4,chòng,ancient firearm,佛朗机铳|鸟铳
18165,铴,U+94F4,tang1,tāng,,
18166,铵,U+94F5,an3,ǎn,ammonium,氯化铵|硝酸铵|硫酸铵
18167,银,U+94F6,yin2,yín,silver,上海浦东发展银行|世界银行|世银
18168,铷,U+94F7,ru2,rú,rubidium (chemistry),
18169,铸,U+94F8,zhu4,zhù,to cast or found metals,冀朝铸|冶铸|浇铸
18170,铹,U+94F9,lao2,láo,lawrencium (chemistry),
18171,铺,U+94FA,pu4|pu1,pù|pū,variant of 鋪|铺[pu4],上下铺|五金店铺|吊铺
18172,铻,U+94FB,wu2|yu3,wú|yǔ,hoe,
18173,铼,U+94FC,lai2,lái,rhenium (chemistry),
18174,铽,U+94FD,te4,tè,terbium (chemistry),
18175,链,U+94FE,lian4,liàn,chain,人链|供应链|侧链
18176,铿,U+94FF,keng1,kēng,(onom.) clang,铿然|铿锵
18177,销,U+9500,xiao1,xiāo,to melt (metal),一笔勾销|不可撤销信用证|主承销商
18178,锁,U+9501,suo3,suǒ,to lock; to lock up,一把钥匙开一把锁|上锁|倒锁
18179,锂,U+9502,li3,lǐ,lithium (chemistry),锂离子电池|锂电池
18180,锃,U+9503,zeng4,zèng,polished,亮锃锃|锃亮|锃光
18181,锄,U+9504,chu2,chú,a hoe,诛锄|诛锄异己|锄地
18182,锅,U+9505,guo1,guō,pot; pan; wok; cauldron,一品锅|一粒老鼠屎坏了一锅粥|一锅端
18183,锆,U+9506,gao4,gào,zirconium (chemistry),锆合金|锆石|锆英砂
18184,锇,U+9507,e2,é,osmium (chemistry),
18185,锈,U+9508,xiu4,xiù,variant of 鏽|锈[xiu4],不锈钢|不锈铁|刀不磨要生锈，人不学要落后
18186,锉,U+9509,cuo4,cuò,(literary) to fracture (a bone),锉冰|锉尸|锉刀
18187,锊,U+950A,lve4,lüè,(ancient unit of weight),
18188,锋,U+950B,feng1,fēng,point of a spear,中锋|交锋|偏锋
18189,锌,U+950C,xin1,xīn,zinc (chemistry),氧化锌|氯化锌|镀锌
18190,锍,U+950D,liu3,liǔ,,
18191,锎,U+950E,kai1,kāi,californium (chemistry),
18192,锏,U+950F,jian3|jian4,jiǎn|jiàn,ancient weapon like a long solid metal truncheon,撒手锏|杀手锏
18193,锐,U+9510,rui4,ruì,acute,尖锐|尖锐化|尖锐批评
18194,锑,U+9511,ti1,tī,antimony (chemistry),
18195,锒,U+9512,lang2,láng,chain,挡锒|锒铛|锒铛入狱
18196,锓,U+9513,qin3,qǐn,to carve,
18197,锔,U+9514,ju1|ju2,jū|jú,to mend by stapling or cramping broken pieces together,锔子
18198,锕,U+9515,a1,ā,actinium (chemistry),锕系元素
18199,锖,U+9516,qiang1,qiāng,the color of a mineral,
18200,锗,U+9517,zhe3,zhě,germanium (chemistry),
18201,锘,U+9518,nuo4,nuò,nobelium (chemistry),
18202,错,U+9519,cuo4,cuò,surname Cuo,一错再错|不错|交错
18203,锚,U+951A,mao2,máo,anchor,下锚|抛下锚|抛锚
18204,锛,U+951B,ben1,bēn,adz,
18205,锜,U+951C,qi2,qí,three legged cauldron (old),
18206,锝,U+951D,de2,dé,technetium (chemistry),
18207,锞,U+951E,ke4,kè,grease-pot for cart,
18208,锟,U+951F,kun1,kūn,steel sword,曹锟
18209,锠,U+9520,chang1,chāng,metal utensil,
18210,锡,U+9521,xi1,xī,tin (chemistry),刘禹锡|察布查尔锡伯自治县|拉瓦锡
18211,锢,U+9522,gu4,gù,obstinate disease,囚锢锋|禁锢|锢囚锋
18212,锣,U+9523,luo2,luó,gong,厮锣|敲打锣鼓|敲锣
18213,锤,U+9524,chui2,chuí,hammer,一锤子买卖|一锤定音|包剪锤
18214,锥,U+9525,zhui1,zhuī,cone,三角锥|交通锥|光锥
18215,锦,U+9526,jin3,jǐn,brocade,三索锦蛇|世锦赛|什锦
18216,锧,U+9527,zhi4,zhì,(executioner's) block,
18217,锨,U+9528,xian1,xiān,shovel,老鼠拖木锨，大头在后头|铁锨
18218,锩,U+9529,juan3,juǎn,to bend iron,
18219,锪,U+952A,huo1,huō,(metalwork) to ream,锪孔
18220,锫,U+952B,pei2,péi,berkelium (chemistry),
18221,锬,U+952C,tan2|xian1,tán|xiān,long spear,
18222,锭,U+952D,ding4,dìng,(weaving) spindle,纸锭|银锭|锡锭
18223,键,U+952E,jian4,jiàn,key (on a piano or computer keyboard),三键|上箭头键|下箭头键
18224,锯,U+952F,ju4|ju1,jù|jū,variant of 鋦|锔[ju1],刀锯斧钺|刀锯鼎镬|前锯肌
18225,锰,U+9530,meng3,měng,manganese (chemistry),二氧化锰|锰矿|锰结核
18226,锱,U+9531,zi1,zī,ancient weight,锱铢必较
18227,锲,U+9532,qie4,qiè,to cut,锲而不舍
18228,锳,U+9533,ying1,yīng,(onom.) ring,
18229,锴,U+9534,kai3,kǎi,high quality iron,
18230,锵,U+9535,qiang1,qiāng,tinkling of small bells,铿锵
18231,锶,U+9536,si1,sī,strontium (chemistry),
18232,锷,U+9537,e4,è,blade edge,蔡锷
18233,锸,U+9538,cha1,chā,spade,
18234,锹,U+9539,qiao1,qiāo,variant of 鍬|锹[qiao1],扁锹形虫|锹形虫|铁锹
18235,锺,U+953A,zhong1,zhōng,nonstandard simplified variant of 鍾|钟[zhong1],
18236,锻,U+953B,duan4,duàn,to forge,锻造|锻炼|锻铁
18237,锼,U+953C,sou1,sōu,to engrave (metal of wood),
18238,锽,U+953D,huang2,huáng,sound of drums and bells,
18239,锾,U+953E,huan2,huán,ancient unit of weight,罚锾
18240,锿,U+953F,ai1,āi,einsteinium (chemistry),
18241,镀,U+9540,du4,dù,"to plate (with gold, silver etc)",镀上|镀层|镀金
18242,镁,U+9541,mei3,měi,magnesium (chemistry),桂纶镁|氧化镁|氢氧化镁
18243,镂,U+9542,lou4,lòu,to engrave,铭心镂骨|镂刻|镂空
18244,镃,U+9543,zi1,zī,hoe,
18245,镄,U+9544,fei4,fèi,fermium (chemistry),
18246,镅,U+9545,mei2,méi,americium (chemistry),
18247,镆,U+9546,mo4,mò,used in 鏌鋣|镆铘[Mo4 ye2],镆铘
18248,镇,U+9547,zhen4,zhèn,to press down,三峡镇|二林镇|冰镇
18249,镈,U+9548,bo2,bó,ancient musical intrument shaped as a bell,皇甫镈
18250,镉,U+9549,ge2,gé,cadmium (chemistry),
18251,镊,U+954A,nie4,niè,(bound form) tweezers,手术镊|镊子
18252,镋,U+954B,tang3,tǎng,old variant of 钂|镋[tang3],
18253,镌,U+954C,juan1,juān,to engrave (on wood or stone),镌刻|镌心铭骨|镌镂
18254,镍,U+954D,nie4,niè,nickel (chemistry),镍箔
18255,镎,U+954E,na2,ná,neptunium (chemistry),
18256,镏,U+954F,liu2|liu4,liú|liù,(Tw) (chemistry) lutetium,金镏子|镏子|镏金
18257,镐,U+9550,gao3|hao4,gǎo|hào,a pick,丁字镐|冰镐|十字镐
18258,镑,U+9551,bang4,bàng,pound (sterling) (loanword),英镑
18259,镒,U+9552,yi4,yì,ancient unit of weight equal to 20 or 24 liang 兩|两[liang3],
18260,镓,U+9553,jia1,jiā,gallium (chemistry),氮化镓|砷化镓
18261,镔,U+9554,bin1,bīn,fine steel,
18262,镕,U+9555,rong2,róng,to smelt,朱镕基|镕炉
18263,镖,U+9556,biao1,biāo,dart-like throwing weapon,保镖|梭镖|回力镖
18264,镗,U+9557,tang1|tang2,tāng|táng,noise of drums,
18265,镘,U+9558,man4,màn,side of coin without words,
18266,镙,U+9559,luo2,luó,,
18267,镚,U+955A,beng4,bèng,small coin,钢镚
18268,镛,U+955B,yong1,yōng,large bell,
18269,镜,U+955C,jing4,jìng,mirror,NG镜头|OK镜|三棱镜
18270,镝,U+955D,di1|di2,dī|dí,dysprosium (chemistry),
18271,镞,U+955E,zu2,zú,arrowhead,箭镞
18272,镟,U+955F,xuan4,xuàn,to shape on a lathe,
18273,镠,U+9560,liu2,liú,fine gold,
18274,镡,U+9561,chan2|tan2|xin2,chán|tán|xín,surname Tan,
18275,镢,U+9562,jue2,jué,(dialect) (bound form) mattock; hoe,镢头
18276,镣,U+9563,liao4,liào,fetters,脚镣|镣铐|镣锁
18277,镤,U+9564,pu2,pú,protactinium (chemistry),
18278,镥,U+9565,lu3,lǔ,lutetium (chemistry),
18279,镦,U+9566,dui4|dun1,duì|dūn,upsetting (forged pieces),
18280,镧,U+9567,lan2,lán,lanthanum (chemistry),镧系元素
18281,镨,U+9568,pu3,pǔ,praseodymium (chemistry),
18282,镩,U+9569,cuan1,cuān,ice spud (aka ice chisel) with a pointy tip,冰镩|镩子
18283,镪,U+956A,qiang1|qiang3,qiāng|qiǎng,sulfuric acid,镪水
18284,镫,U+956B,deng4,dèng,stirrup,镫骨|马镫
18285,镬,U+956C,huo4,huò,wok (dialect),刀锯鼎镬|斧钺汤镬|镬气
18286,镭,U+956D,lei2,léi,radium (chemistry),镭射|镭射印表机
18287,镮,U+956E,huan2,huán,(ancient weight),
18288,镯,U+956F,zhuo2,zhuó,bracelet,手镯|镯子
18289,镰,U+9570,lian2,lián,old variant of 鐮|镰[lian2],大镰刀|挂镰|钐镰
18290,镱,U+9571,yi4,yì,ytterbium (chemistry),
18291,镲,U+9572,cha3,chǎ,small cymbals,打镲|踩镲
18292,镳,U+9573,biao1,biāo,bit (of a bridle),保镳|分道扬镳|连镳并轸
18293,镴,U+9574,la4,là,solder,白镴|银样镴枪头|锡镴
18294,镵,U+9575,chan2,chán,sharp instrument for digging,
18295,镶,U+9576,xiang1,xiāng,to inlay,正镶白旗|镶嵌|镶牙
18296,長,U+9577,zhang3|chang2|zhang4,zhǎng|cháng|zhàng,long,一技之長|一無所長|一長一短
18297,镸,U+9578,chang2,cháng,"""long"" or ""to grow"" radical in Chinese characters (Kangxi radical 168)",
18298,镹,U+9579,jiu3,jiǔ,,
18299,镺,U+957A,ao3,ǎo,,
18300,镻,U+957B,die2,dié,name of poisonous snake in ancient text,
18301,镼,U+957C,qu1,qū,,
18302,镽,U+957D,liao3|liao2,liǎo|liáo,,
18303,镾,U+957E,mi2,mí,,
18304,长,U+957F,zhang3|chang2,zhǎng|cháng,long,一技之长|一无所长|一长一短
18305,門,U+9580,men2,mén,surname Men,一門式|一門心思|三地門
18306,閁,U+9581,ma4,mà,,
18307,閂,U+9582,shuan1,shuān,bolt,槍閂|鎖閂|門閂
18308,閃,U+9583,shan3,shǎn,surname Shan,一閃念|一閃而過|亮閃閃
18309,閄,U+9584,huo4|shan3,huò|shǎn,,
18310,閅,U+9585,men2,mén,,
18311,閆,U+9586,yan2,yán,surname Yan,
18312,閇,U+9587,bi4,bì,old variant of 閉|闭[bi4],
18313,閈,U+9588,han4|bi4,hàn|bì,gate of a village,
18314,閉,U+9589,bi4,bì,to close,便閉|倒閉|吃閉門羹
18315,閊,U+958A,shan1,shān,,
18316,開,U+958B,kai1|qian1,kāi|qiān,to open (transitive or intransitive),一夫當關，萬夫莫開|一把鑰匙開一把鎖|三七開
18317,閌,U+958C,kang4,kàng,used in 閌閬|闶阆[kang1 lang2],閌閬
18318,閍,U+958D,beng1,bēng,,
18319,閎,U+958E,hong2,hóng,surname Hong,
18320,閏,U+958F,run4,rùn,intercalary,敖閏|閏四月，吃樹葉|閏年
18321,閐,U+9590,san4,sàn,,
18322,閑,U+9591,xian2,xián,enclosure,偷閑|冬閑|安閑
18323,閒,U+9592,xian2|jian4|jian1|jian3,xián|jiàn|jiān|jiǎn,variant of 間|间[jian1],休閒|休閒褲|休閒鞋
18324,間,U+9593,jian1|jian4|jian3,jiān|jiàn|jiǎn,between,一夜之間|一時間|一瞬間
18325,閔,U+9594,min3|min2,mǐn|mín,surname Min,閔凶|閔科夫斯基|閔行區
18326,閕,U+9595,xia1|xia3,xiā|xiǎ,,
18327,閖,U+9596,shui,shui,,
18328,閗,U+9597,dou4,dòu,variant of 鬥|斗[dou4],
18329,閘,U+9598,zha2|ya1|ge1,zhá|yā|gē,sluice; sluice gate,下閘|大閘蟹|手閘
18330,閙,U+9599,nao4,nào,variant of 鬧|闹[nao4],
18331,閚,U+959A,zhan1,zhān,,
18332,閛,U+959B,peng1|peng4,pēng|pèng,the sound of opening or closing the door,
18333,閜,U+959C,xia3|e3,xiǎ|ě,,
18334,閝,U+959D,ling2,líng,,
18335,閞,U+959E,bian4|guan1,biàn|guān,,
18336,閟,U+959F,bi4,bì,hidden,
18337,閠,U+95A0,run4,rùn,,
18338,閡,U+95A1,ai4|he2|hai4|gai1|kai3,ài|hé|hài|gāi|kǎi,obstruct,隔閡
18339,関,U+95A2,guan1,guān,variant of 關|关[guan1],
18340,閣,U+95A3,ge2,gé,pavilion (usu. two-storied),亭臺樓閣|亭閣|仙山瓊閣
18341,閤,U+95A4,ge2|ge1,gé|gē,variant of 合[he2],
18342,閥,U+95A5,fa2,fá,"powerful individual, family or group",北洋軍閥|吸入閥|奉系軍閥
18343,閦,U+95A6,chu4,chù,crowd,東方阿閦佛|东方阿閦佛|阿閦佛
18344,閧,U+95A7,hong4|xiang4,hòng|xiàng,variant of 鬨|哄[hong4],
18345,閨,U+95A8,gui1,guī,small arched door,大家閨秀|孀閨|深閨
18346,閩,U+95A9,min3,mǐn,short name for Fujian province 福建[Fu2 jian4],川魯粵蘇浙閩湘徽|納閩|閩侯
18347,閪,U+95AA,se1,sē,,
18348,閫,U+95AB,kun3,kǔn,threshold,令閫|閨閫|閫奧
18349,閬,U+95AC,lang4|lang3|liang3,làng|lǎng|liǎng,used in 閌閬|闶阆[kang1 lang2],閌閬|閬中|閬中市
18350,閭,U+95AD,lv2,lǘ,gate of a village,吳王闔閭|尾閭骨|改換門閭
18351,閮,U+95AE,ting2|ting3,tíng|tǐng,,
18352,閯,U+95AF,sha4,shà,,
18353,閰,U+95B0,ju2,jú,,
18354,閱,U+95B1,yue4,yuè,to inspect,借閱|傳閱|參閱
18355,閲,U+95B2,yue4,yuè,Japanese variant of 閱|阅,
18356,閳,U+95B3,chan3,chǎn,old variant of 闡|阐[chan3],
18357,閴,U+95B4,qu4,qù,,
18358,閵,U+95B5,lin4,lìn,,
18359,閶,U+95B6,chang1|tang1,chāng|tāng,gate of heaven,
18360,閷,U+95B7,shai4|sha1,shài|shā,,
18361,閸,U+95B8,kun3,kǔn,,
18362,閹,U+95B9,yan1,yān,to castrate,閹人|閹割|閹然
18363,閺,U+95BA,wen2,wén,to look down,
18364,閻,U+95BB,yan2|yan3|yan4,yán|yǎn|yàn,surname Yan (sometimes written 閆|闫[Yan2] in recent years),見閻王|閻君|閻王
18365,閼,U+95BC,e4|yu4|yan1,è|yù|yān,to block,閼氏|雍閼
18366,閽,U+95BD,hun1,hūn,doorkeeper,
18367,閾,U+95BE,yu4,yù,threshold,聽閾|閾值|閾限
18368,閿,U+95BF,wen2,wén,"wen xiang, Henan province",
18369,闀,U+95C0,hong4,hòng,,
18370,闁,U+95C1,bao1,bāo,old variant of 褒[bao1],
18371,闂,U+95C2,hong4|xiang4|juan3,hòng|xiàng|juǎn,,
18372,闃,U+95C3,qu4,qù,quiet,空闃|闃寂|闃然
18373,闄,U+95C4,yao3,yǎo,,
18374,闅,U+95C5,wen2,wén,,
18375,闆,U+95C6,ban3|pan3,bǎn|pǎn,"see 老闆|老板, boss",老闆|老闆娘
18376,闇,U+95C7,an4|an3|an1|yin1|yin3,àn|ǎn|ān|yīn|yǐn,(literary) to close (a door),
18377,闈,U+95C8,wei2,wéi,door to women's room,春闈|秋闈
18378,闉,U+95C9,yin1,yīn,surname Yin,
18379,闊,U+95CA,kuo4,kuò,rich,久闊|壯闊|大刀闊斧
18380,闋,U+95CB,que4|jue2|kui2,què|jué|kuí,(literary) to end; to stop,
18381,闌,U+95CC,lan2|lan4,lán|làn,railing,勾闌|夜闌|夜闌人靜
18382,闍,U+95CD,du1|she2,dū|shé,defensive platform over gate,瞽闍|闍梨|闍黎
18383,闎,U+95CE,quan2,quán,,
18384,闏,U+95CF,feng1,fēng,,
18385,闐,U+95D0,tian2,tián,fill up,和闐
18386,闑,U+95D1,nie4,niè,vertical divider of a door way,
18387,闒,U+95D2,ta4,tà,door or window in an upper story,
18388,闓,U+95D3,kai3,kǎi,to loosen,
18389,闔,U+95D4,he2,hé,door,吳王闔廬|吳王闔閭|闔家
18390,闕,U+95D5,que4|que1|jue2,què|quē|jué,surname Que,城闕|宮闕|補闕
18391,闖,U+95D6,chuang3|chen4,chuǎng|chèn,to rush,擅闖|私闖|走南闖北
18392,闗,U+95D7,guan1,guān,old variant of 關|关[guan1],
18393,闘,U+95D8,dou4,dòu,Japanese variant of 鬥|斗,
18394,闙,U+95D9,qi3,qǐ,,
18395,闚,U+95DA,kui1,kuī,variant of 窺|窥[kui1],
18396,闛,U+95DB,tang2|tang1|chang1,táng|tāng|chāng,,
18397,關,U+95DC,guan1|wan1|wan3,guān|wān|wǎn,surname Guan,一夫當關，萬夫莫開|一語雙關|七星關
18398,闝,U+95DD,piao2,piáo,,
18399,闞,U+95DE,kan4|han3|xian4,kàn|hǎn|xiàn,surname Kan,
18400,闟,U+95DF,xi4|se4|ta4,xì|sè|tà,peacefully,
18401,闠,U+95E0,hui4,huì,gate of market,
18402,闡,U+95E1,chan3,chǎn,to express,推闡|闡揚|闡明
18403,闢,U+95E2,pi4|pi1,pì|pī,to open (a door),另闢蹊徑|精闢|警闢
18404,闣,U+95E3,dang4|tang1,dàng|tāng,,
18405,闤,U+95E4,huan2,huán,wall around a market place,
18406,闥,U+95E5,ta4,tà,door of an inner room,
18407,闦,U+95E6,wen2,wén,,
18408,闧,U+95E7,ta1,tā,,
18409,门,U+95E8,men2,mén,surname Men,一门式|一门心思|三地门
18410,闩,U+95E9,shuan1,shuān,bolt,枪闩|锁闩|门闩
18411,闪,U+95EA,shan3,shǎn,surname Shan,一闪念|一闪而过|亮闪闪
18412,闫,U+95EB,yan2,yán,surname Yan,
18413,闬,U+95EC,han4,hàn,gate of a village,
18414,闭,U+95ED,bi4,bì,to close,便闭|倒闭|吃闭门羹
18415,问,U+95EE,wen4,wèn,to ask; to inquire,一问三不知|三农问题|三体问题
18416,闯,U+95EF,chuang3,chuǎng,to rush,擅闯|私闯|走南闯北
18417,闰,U+95F0,run4,rùn,intercalary,敖闰|闰四月，吃树叶|闰年
18418,闱,U+95F1,wei2,wéi,door to women's room,春闱|秋闱
18419,闲,U+95F2,xian2,xián,enclosure,休闲|休闲裤|休闲鞋
18420,闳,U+95F3,hong2,hóng,surname Hong,
18421,间,U+95F4,jian1|jian4,jiān|jiàn,between,一夜之间|一时间|一瞬间
18422,闵,U+95F5,min3,mǐn,surname Min,闵凶|闵科夫斯基|闵行区
18423,闶,U+95F6,kang1|kang4,kāng|kàng,used in 閌閬|闶阆[kang1 lang2],闶阆
18424,闷,U+95F7,men4|men1,mèn|mēn,stuffy,闷屁|闷闷不乐|闷热
18425,闸,U+95F8,zha2,zhá,old variant of 閘|闸[zha2],下闸|大闸蟹|手闸
18426,闹,U+95F9,nao4,nào,variant of 鬧|闹[nao4],一哭二闹三上吊|五鬼闹判|内行看门道，外行看热闹
18427,闺,U+95FA,gui1,guī,small arched door,大家闺秀|孀闺|深闺
18428,闻,U+95FB,wen2,wén,surname Wen,一无所闻|上海文广新闻传媒集团|不闻不问
18429,闼,U+95FC,ta4,tà,door of an inner room,
18430,闽,U+95FD,min3,mǐn,short name for Fujian province 福建[Fu2 jian4],川鲁粤苏浙闽湘徽|纳闽|闽侯
18431,闾,U+95FE,lv2,lǘ,gate of a village,吴王阖闾|尾闾骨|改换门闾
18432,闿,U+95FF,kai3,kǎi,to loosen,
18433,阀,U+9600,fa2,fá,"powerful individual, family or group",北洋军阀|吸入阀|奉系军阀
18434,阁,U+9601,ge2,gé,pavilion (usu. two-storied),亭台楼阁|亭阁|仙山琼阁
18435,阂,U+9602,he2,hé,obstruct,隔阂
18436,阃,U+9603,kun3,kǔn,threshold,令阃|闺阃|阃奥
18437,阄,U+9604,jiu1,jiū,lots (to be drawn),抓阄
18438,阅,U+9605,yue4,yuè,to inspect,借阅|传阅|参阅
18439,阆,U+9606,lang2|lang4,láng|làng,used in 閌閬|闶阆[kang1 lang2],闶阆|阆中|阆中市
18440,阇,U+9607,du1|she2,dū|shé,defensive platform over gate,瞽阇|阇梨|阇黎
18441,阈,U+9608,yu4,yù,threshold,听阈|阈值|阈限
18442,阉,U+9609,yan1,yān,to castrate,阉人|阉割|阉然
18443,阊,U+960A,chang1,chāng,gate of heaven,
18444,阋,U+960B,xi4,xì,to argue,兄弟阋于墙，外御其侮|兄弟阋墙
18445,阌,U+960C,wen2,wén,"wen xiang, Henan province",
18446,阍,U+960D,hun1,hūn,doorkeeper,
18447,阎,U+960E,yan2,yán,surname Yan (sometimes written 閆|闫[Yan2] in recent years),见阎王|阎君|阎王
18448,阏,U+960F,e4|yan1,è|yān,to block,阏氏|雍阏
18449,阐,U+9610,chan3,chǎn,to express,推阐|阐扬|阐明
18450,阑,U+9611,lan2,lán,railing,勾阑|夜阑|夜阑人静
18451,阒,U+9612,qu4,qù,quiet,空阒|阒寂|阒然
18452,阓,U+9613,hui4,huì,gate of market,
18453,阔,U+9614,kuo4,kuò,variant of 闊|阔[kuo4],久阔|壮阔|大刀阔斧
18454,阕,U+9615,que4,què,(literary) to end; to stop,
18455,阖,U+9616,he2,hé,door,吴王阖庐|吴王阖闾|阖家
18456,阗,U+9617,tian2,tián,fill up,和阗
18457,阘,U+9618,da2|ta4,dá|tà,door or window in an upper story,
18458,阙,U+9619,que1|que4,quē|què,surname Que,城阙|宫阙|补阙
18459,阚,U+961A,han3|kan4,hǎn|kàn,surname Kan,
18460,阛,U+961B,huan2,huán,wall around a market place,
18461,阜,U+961C,fu4,fù,abundant,岐阜縣|岐阜县|曲阜
18462,阝,U+961D,fu4,fù,,
18463,阞,U+961E,le4,lè,layer,
18464,队,U+961F,dui4,duì,squadron,一字纵队|不怕神一样的对手，就怕猪一样的队友|中国人民武装警察部队
18465,阠,U+9620,xin4,xìn,,
18466,阡,U+9621,qian1,qiān,road leading north and south,喀爾巴阡山脈|喀尔巴阡山脉|石阡
18467,阢,U+9622,wu4|wei2,wù|wéi,used in 阢隉|阢陧[wu4 nie4],阢隉|阢陧
18468,阣,U+9623,gai4|yi4,gài|yì,,
18469,阤,U+9624,zhi4|yi2|tuo2,zhì|yí|tuó,bank,
18470,阥,U+9625,yin1,yīn,,
18471,阦,U+9626,yang2,yáng,,
18472,阧,U+9627,dou3,dǒu,,
18473,阨,U+9628,e4|ai4,è|ài,defile,
18474,阩,U+9629,sheng1,shēng,,
18475,阪,U+962A,ban3,bǎn,slope,大阪|大阪府|大阪燒
18476,阫,U+962B,pei2,péi,,
18477,阬,U+962C,keng1|kang4|gang1,kēng|kàng|gāng,variant of 坑[keng1],
18478,阭,U+962D,yun3|yan3,yǔn|yǎn,,
18479,阮,U+962E,ruan3|yuan2,ruǎn|yuán,surname Ruan,中阮|大阮|阮元
18480,阯,U+962F,zhi3,zhǐ,variant of 址[zhi3],
18481,阰,U+9630,pi2,pí,mountain in ancient Chu,
18482,阱,U+9631,jing3,jǐng,variant of 阱[jing3],修昔底德陷阱|勢阱|势阱
18483,防,U+9632,fang2,fáng,to protect,三北防護林|三北防护林|中國國防科技信息中心
18484,阳,U+9633,yang2,yáng,positive (electric.),中阳|中阳县|丹阳
18485,阴,U+9634,yin1,yīn,surname Yin,一命归阴|一寸光阴一寸金|一寸光阴一寸金，寸金难买寸光阴
18486,阵,U+9635,zhen4,zhèn,disposition of troops,一小阵儿|一阵|一阵子
18487,阶,U+9636,jie1,jiē,variant of 階|阶[jie1],七声音阶|下台阶|中产阶级
18488,阷,U+9637,cheng1,chēng,,
18489,阸,U+9638,e4|ai4,è|ài,,
18490,阹,U+9639,qu1,qū,a pen,
18491,阺,U+963A,di3,dǐ,,
18492,阻,U+963B,zu3|zhu4,zǔ|zhù,to hinder,交通阻塞|修阻|偏置電阻
18493,阼,U+963C,zuo4,zuò,steps leading to the eastern door,
18494,阽,U+963D,dian4|yan2,diàn|yán,dangerous,
18495,阾,U+963E,ling3|ling2,lǐng|líng,,
18496,阿,U+963F,a1|e1|e3|a3|a4|a,ā|ē|ě|ǎ|à|a,"abbr. for country names that begin with 阿[a1]: Algeria 阿爾及利亞|阿尔及利亚[A1 er3 ji2 li4 ya4], Afghanistan 阿富汗[A1 fu4 han4] etc",三阿姨|二阿姨|亞西爾·阿拉法特
18497,陀,U+9640,tuo2|duo4,tuó|duò,(phonetic),佛陀|南普陀寺|吠陀
18498,陁,U+9641,tuo2|zhi4|yi3,tuó|zhì|yǐ,variant of 阤[tuo2],
18499,陂,U+9642,bei1|pi2|bi4|po1,bēi|pí|bì|pō,pool,芍陂|陂塘|陂陀
18500,陃,U+9643,bing3,bǐng,,
18501,附,U+9644,fu4|bu4|fu1,fù|bù|fū,variant of 附[fu4],依附|全資附屬公司|全资附属公司
18502,际,U+9645,ji4,jì,border,一望无际|不切合实际|不切实际
18503,陆,U+9646,lu4|liu4,lù|liù,surname Lu,下陆|下陆区|不着陆飞行
18504,陇,U+9647,long3,lǒng,short name for Gansu province 甘肅省|甘肃省[Gan1 su4 Sheng3],仪陇|仪陇县|得陇望蜀
18505,陈,U+9648,chen2,chén,surname Chen,乏善可陈|五味杂陈|六陈
18506,陉,U+9649,xing2,xíng,border the stove,井陉|井陉矿区|井陉县
18507,陊,U+964A,duo4,duò,,
18508,陋,U+964B,lou4,lòu,low,卑陋|卑陋齷齪|卑陋龌龊
18509,陌,U+964C,mo4,mò,raised path,奧陌陌|奥陌陌|形同陌路
18510,降,U+964D,jiang4|xiang2|xiang4,jiàng|xiáng|xiàng,to drop,一力降十會|一力降十会|一物降一物
18511,陎,U+964E,shu1,shū,surname Shu,
18512,陏,U+964F,duo4|sui2,duò|suí,old variant of 隨|随[Sui2],
18513,限,U+9650,xian4|wen3,xiàn|wěn,to limit,上限|下限|中國石油化工股份有限公司
18514,陑,U+9651,er2,ér,place name,
18515,陒,U+9652,gui3,guǐ,,
18516,陓,U+9653,yu1,yū,,
18517,陔,U+9654,gai1,gāi,step,
18518,陕,U+9655,shan3,shǎn,abbr. for Shaanxi 陝西|陕西 province,宁陕|宁陕县|陕北
18519,陖,U+9656,jun4,jùn,old variant of 峻[jun4],
18520,陗,U+9657,qiao4,qiào,variant of 峭[qiao4],
18521,陘,U+9658,xing2|jing4,xíng|jìng,border the stove,井陘|井陘礦區|井陘縣
18522,陙,U+9659,chun2,chún,,
18523,陚,U+965A,fu4|wu3,fù|wǔ,,
